Pitäjä	X	Y
Moloskovitsa	623625.27710136	6586532.6470937
Mouhijärvi	286136.47894102	6827915.7640547
Muhos	466993.95979163	7185527.2158145
Multia	390430.93534206	6929556.9427984
Muolaa	634020.95543727	6714076.5141623
Muonio	364107.55343118	7530704.7915946
Muurame	430427.93595078	6891149.887585
Muurla	296244.96276624	6695972.6197859
Muuruvesi	558390.25005626	6993233.6447817
Mynämäki	229689.7019205	6743664.2472827
Myrskylä	437872.73349335	6723762.1199955
Mäntsälä	407422.73357968	6727057.2083101
Mäntyharju	494480.29419811	6801974.4245179
Naantali	228075.33217796	6714397.7324413
Nakkila	229638.81829864	6813062.2021453
Nastola	443789.18124824	6762595.8890292
Nattavaara	258581.3992206	7403545.185132799
Nilsiä	556969.86860168	7014958.4997416
Nivala	403627.10333498	7091045.0701244
Noormarkku	237455.86875918	6841165.810202
Nousiainen	236799.49454316	6735345.7055217
Nuijamaa	587722.38559	6754692.4441885
Nummi	329408.84679284	6702326.6247183
Nurmes	612580.51731312	7055780.9990843
Nurmijärvi	377396.45432508	6705021.8202849
Nurmo	297857.11511222	6965140.7803465
Orimattila	432362.76200079	6742333.1717656
Oripää	266108.11921491	6756816.3765345
Orivesi	357555.2605687	6842259.0004431
Oulainen	397884.50557764	7127809.3135199
Oulu	428676.62580943	7212649.9813135
Oulujoki	440381.43899476	7208429.0581494
Oulunsalo	420790.10679562	7205184.5594385
Paattinen	249806.84237524	6730281.2650464
Paavola	415525.2640976	7162293.4528396
Padasjoki	405001.44384634	6805618.7961674
Paimio	265385.6213404	6709408.0072086
Pajala	343276.45451615	7455306.0774736
Paltamo	536796.22790412	7145052.6074717
Parikkala	633217.62856459	6828616.4976848
Parkano	290312.5712376	6887004.4239569
Pattijoki	391392.3819958	7167089.2241957
Pelkosenniemi	521113.45824055	7448885.566108999
Perho	371931.96187289	7016684.8549879
Perniö	286064.02930918	6681852.9861939
Pertteli	298451.60683233	6708079.2400209
Pertunmaa	471060.47216863	6818149.9404174
Peräseinäjoki	300703.60741216	6937237.9638175
Petäjävesi	408484.23661508	6908179.3285951
Pieksämäki	503908.17699724	6908928.5079434
Pielavesi	485486.9635717	7018072.7721346
Pielisjärvi	660602.28629974	7028512.7806692
Pihlajavesi	359426.77784445	6915584.0515874
Pihtipudas	429824.70433028	7032488.5310551
Piikkiö	254431.51297181	6707734.8475145
Piippola	453033.64001427	7114855.6861188
Pirkkala	320069.15697618	6815572.2629229
Pohjois-Pirkkala	313647.89725964	6821375.1384272
Polvijärvi	621763.65055442	6976600.0379335
Pomarkku	240051.75582112	6851471.2230966
Pori	218821.2868446	6830820.0291662
Pornainen	410821.83596224	6706493.3608826
Porvoo	428735.49265977	6694812.7512555
Posio	547835.53981518	7338652.8306234
Pudasjärvi	506940.28836066	7259721.9444219
Pukkila	424265.14042778	6725078.1245189
Pulkkila	442971.56546375	7130870.209372
Punkaharju	630561.93576886	6853624.6711637
Punkalaidun	291913.08331298	6781987.4838868
Puolanka	536404.36880338	7193873.8853854
Pusula	336453.68682261	6713784.9309382
Puumala	564887.36838709	6820688.5973884
Pyhtää	482058.0452825	6708418.0504917
Pyhäjoki	374841.19218404	7146531.3351589
Pyhäjärvi Ol.	447748.53076409	7060307.917094
Pyhäjärvi Ul.	349943.94419118	6716405.3138817
Pyhäjärvi Vpl.	678955.45222351	6747108.7722058
Pyhämaa	192548.26977303	6768715.1660462
Pyhäntä	474468.04564052	7105890.053051
Pyhäranta	201467.53419141	6774669.2678066
Pyhäselkä	654856.33989471	6930507.8825496
Pylkönmäki	385763.54314315	6951456.6851532
Pälkjärvi	696498.24842118	6887705.2088088
Pälkäne	356936.28901866	6803318.1960094
Pöytyä	264503.61539213	6743168.9228646
Raahe	380417.18775535	7173580.8004265
Raisio	235082.84333966	6715636.7472654
Rantasalmi	569903.34210068	6882422.644588
Rantsila	437791.19799683	7149025.4895767
Ranua	483347.36945345	7319038.491570499
Rauma	205659.50176384	6787909.55817
Rautalampi	485677.71129067	6946605.3065656
Rautavaara	571212.59991714	7042408.6986753
Rautio	360415.24253311	7109513.0246924
Rautjärvi	618612.90357576	6803265.7799766
Rautu	683204.36000424	6714239.6914956
Reisjärvi	399349.5887696	7055663.3106815
Renko	352573.70360024	6749501.3994251
